"","Recall","Precision"
"1",1,0.329268292682927
"2",1,0.329268292682927
"3",1,0.333333333333333
"4",1,0.3375
"5",1,0.341772151898734
"6",1,0.346153846153846
"7",1,0.350649350649351
"8",1,0.355263157894737
"9",1,0.36
"10",1,0.364864864864865
"11",1,0.36986301369863
"12",1,0.375
"13",1,0.380281690140845
"14",1,0.385714285714286
"15",1,0.391304347826087
"16",1,0.397058823529412
"17",1,0.402985074626866
"18",1,0.409090909090909
"19",1,0.415384615384615
"20",1,0.421875
"21",1,0.428571428571429
"22",1,0.435483870967742
"23",1,0.442622950819672
"24",1,0.45
"25",1,0.457627118644068
"26",1,0.46551724137931
"27",1,0.473684210526316
"28",1,0.482142857142857
"29",1,0.490909090909091
"30",1,0.5
"31",1,0.509433962264151
"32",1,0.519230769230769
"33",1,0.529411764705882
"34",1,0.54
"35",1,0.551020408163265
"36",1,0.5625
"37",1,0.574468085106383
"38",1,0.58695652173913
"39",1,0.6
"40",1,0.613636363636364
"41",0.962962962962963,0.604651162790698
"42",0.962962962962963,0.619047619047619
"43",0.962962962962963,0.634146341463415
"44",0.962962962962963,0.65
"45",0.925925925925926,0.641025641025641
"46",0.925925925925926,0.657894736842105
"47",0.888888888888889,0.648648648648649
"48",0.888888888888889,0.666666666666667
"49",0.888888888888889,0.685714285714286
"50",0.888888888888889,0.705882352941177
"51",0.888888888888889,0.727272727272727
"52",0.888888888888889,0.75
"53",0.888888888888889,0.774193548387097
"54",0.851851851851852,0.766666666666667
"55",0.851851851851852,0.793103448275862
"56",0.814814814814815,0.785714285714286
"57",0.777777777777778,0.777777777777778
"58",0.740740740740741,0.769230769230769
"59",0.703703703703704,0.76
"60",0.703703703703704,0.791666666666667
"61",0.703703703703704,0.826086956521739
"62",0.703703703703704,0.863636363636364
"63",0.666666666666667,0.857142857142857
"64",0.62962962962963,0.85
"65",0.592592592592593,0.842105263157895
"66",0.555555555555556,0.833333333333333
"67",0.518518518518518,0.823529411764706
"68",0.481481481481481,0.8125
"69",0.444444444444444,0.8
"70",0.407407407407407,0.785714285714286
"71",0.407407407407407,0.846153846153846
"72",0.37037037037037,0.833333333333333
"73",0.333333333333333,0.818181818181818
"74",0.296296296296296,0.8
"75",0.259259259259259,0.777777777777778
"76",0.259259259259259,0.875
"77",0.222222222222222,0.857142857142857
"78",0.185185185185185,0.833333333333333
"79",0.185185185185185,1
"80",0.148148148148148,1
"81",0.111111111111111,1
"82",0.0740740740740741,1
"83",0.037037037037037,1
"84",0,1
