"","Recall","Precision"
"1",1,0.329268292682927
"2",1,0.329268292682927
"3",1,0.333333333333333
"4",1,0.3375
"5",1,0.341772151898734
"6",1,0.346153846153846
"7",1,0.350649350649351
"8",1,0.355263157894737
"9",1,0.36
"10",1,0.364864864864865
"11",1,0.36986301369863
"12",1,0.375
"13",1,0.380281690140845
"14",1,0.385714285714286
"15",1,0.391304347826087
"16",1,0.397058823529412
"17",1,0.402985074626866
"18",1,0.409090909090909
"19",1,0.415384615384615
"20",1,0.421875
"21",1,0.428571428571429
"22",1,0.435483870967742
"23",1,0.442622950819672
"24",0.962962962962963,0.433333333333333
"25",0.962962962962963,0.440677966101695
"26",0.962962962962963,0.448275862068966
"27",0.962962962962963,0.456140350877193
"28",0.962962962962963,0.464285714285714
"29",0.962962962962963,0.472727272727273
"30",0.962962962962963,0.481481481481481
"31",0.962962962962963,0.490566037735849
"32",0.962962962962963,0.5
"33",0.962962962962963,0.509803921568627
"34",0.962962962962963,0.52
"35",0.962962962962963,0.530612244897959
"36",0.925925925925926,0.531914893617021
"37",0.925925925925926,0.543478260869565
"38",0.925925925925926,0.555555555555556
"39",0.925925925925926,0.568181818181818
"40",0.925925925925926,0.581395348837209
"41",0.925925925925926,0.595238095238095
"42",0.925925925925926,0.609756097560976
"43",0.925925925925926,0.625
"44",0.888888888888889,0.615384615384615
"45",0.888888888888889,0.648648648648649
"46",0.851851851851852,0.638888888888889
"47",0.851851851851852,0.657142857142857
"48",0.814814814814815,0.647058823529412
"49",0.814814814814815,0.666666666666667
"50",0.814814814814815,0.6875
"51",0.814814814814815,0.709677419354839
"52",0.814814814814815,0.733333333333333
"53",0.777777777777778,0.724137931034483
"54",0.740740740740741,0.714285714285714
"55",0.740740740740741,0.740740740740741
"56",0.740740740740741,0.769230769230769
"57",0.703703703703704,0.76
"58",0.703703703703704,0.791666666666667
"59",0.703703703703704,0.826086956521739
"60",0.703703703703704,0.863636363636364
"61",0.666666666666667,0.857142857142857
"62",0.666666666666667,0.9
"63",0.62962962962963,0.894736842105263
"64",0.62962962962963,0.944444444444444
"65",0.592592592592593,0.941176470588235
"66",0.555555555555556,0.9375
"67",0.518518518518518,0.933333333333333
"68",0.518518518518518,1
"69",0.481481481481481,1
"70",0.444444444444444,1
"71",0.407407407407407,1
"72",0.37037037037037,1
"73",0.333333333333333,1
"74",0.296296296296296,1
"75",0.259259259259259,1
"76",0.222222222222222,1
"77",0.185185185185185,1
"78",0.148148148148148,1
"79",0.111111111111111,1
"80",0.0740740740740741,1
"81",0.037037037037037,1
"82",0,1
