"","Recall","Precision"
"1",1,0.329268292682927
"2",1,0.329268292682927
"3",1,0.333333333333333
"4",1,0.3375
"5",1,0.341772151898734
"6",1,0.346153846153846
"7",1,0.350649350649351
"8",1,0.355263157894737
"9",1,0.36
"10",1,0.364864864864865
"11",1,0.36986301369863
"12",1,0.375
"13",1,0.380281690140845
"14",1,0.385714285714286
"15",1,0.391304347826087
"16",1,0.397058823529412
"17",1,0.402985074626866
"18",1,0.409090909090909
"19",1,0.415384615384615
"20",1,0.421875
"21",1,0.428571428571429
"22",1,0.435483870967742
"23",1,0.442622950819672
"24",0.962962962962963,0.433333333333333
"25",0.962962962962963,0.440677966101695
"26",0.962962962962963,0.448275862068966
"27",0.962962962962963,0.456140350877193
"28",0.925925925925926,0.446428571428571
"29",0.925925925925926,0.454545454545455
"30",0.925925925925926,0.462962962962963
"31",0.925925925925926,0.471698113207547
"32",0.925925925925926,0.480769230769231
"33",0.925925925925926,0.490196078431373
"34",0.925925925925926,0.5
"35",0.925925925925926,0.510204081632653
"36",0.925925925925926,0.520833333333333
"37",0.925925925925926,0.531914893617021
"38",0.925925925925926,0.543478260869565
"39",0.888888888888889,0.533333333333333
"40",0.888888888888889,0.545454545454545
"41",0.888888888888889,0.558139534883721
"42",0.888888888888889,0.571428571428571
"43",0.888888888888889,0.585365853658537
"44",0.888888888888889,0.6
"45",0.888888888888889,0.615384615384615
"46",0.851851851851852,0.605263157894737
"47",0.851851851851852,0.621621621621622
"48",0.851851851851852,0.638888888888889
"49",0.851851851851852,0.657142857142857
"50",0.851851851851852,0.676470588235294
"51",0.851851851851852,0.696969696969697
"52",0.814814814814815,0.6875
"53",0.814814814814815,0.709677419354839
"54",0.814814814814815,0.733333333333333
"55",0.814814814814815,0.758620689655172
"56",0.814814814814815,0.785714285714286
"57",0.777777777777778,0.777777777777778
"58",0.740740740740741,0.769230769230769
"59",0.740740740740741,0.8
"60",0.740740740740741,0.833333333333333
"61",0.703703703703704,0.826086956521739
"62",0.703703703703704,0.863636363636364
"63",0.666666666666667,0.857142857142857
"64",0.62962962962963,0.85
"65",0.62962962962963,0.894736842105263
"66",0.62962962962963,0.944444444444444
"67",0.592592592592593,0.941176470588235
"68",0.555555555555556,0.9375
"69",0.518518518518518,0.933333333333333
"70",0.518518518518518,1
"71",0.481481481481481,1
"72",0.444444444444444,1
"73",0.407407407407407,1
"74",0.37037037037037,1
"75",0.296296296296296,1
"76",0.259259259259259,1
"77",0.222222222222222,1
"78",0.185185185185185,1
"79",0.111111111111111,1
"80",0.0740740740740741,1
"81",0.037037037037037,1
"82",0,1
